symbol,name,market_cap_billion_cny,theme_keywords,sector,is_st,listing_days
300502,新易盛,650,"光模块;CPO;AI算力",通信设备,false,2500
300308,中际旭创,1450,"光模块;800G;AI算力",通信设备,false,3000
300548,博创科技,120,"光模块;硅光;CPO",通信设备,false,2400
301205,联特科技,95,"光模块;CPO;800G",通信设备,false,900
300563,神宇股份,80,"高速线缆;铜连接;AI服务器",通信设备,false,2600
002463,沪电股份,720,"PCB;服务器PCB;AI服务器",电子,false,4000
300476,胜宏科技,410,"PCB;HDI;AI服务器",电子,false,3100
688629,华丰科技,140,"高速连接器;AI服务器",电子,false,700
600845,宝信软件,900,"数据中心;算力",计算机,false,4200
601138,工业富联,4700,"AI服务器;算力;NVIDIA产业链",电子,false,2500
